dealId,fromCurrency,toCurrency,dealTimestamp,dealAmount

DEAL100,USD,EUR,2025-01-15T10:30:00,1000.50
DEAL101,GBP,USD,2025-01-15T11:00:00,2500.75

,EUR,JPY,2025-01-15T12:15:00,5000.00
DEAL103,XXX,AUD,2025-01-15T13:45:00,1500.25
DEAL104,CHF,GBP,2025-01-15T14:20:00,3200.80
DEAL105,USD,CAD,invalid-date,100.00
DEAL106,AUD,NZD,2025-01-15T15:00:00,-500.00
DEAL107,JPY,USD,2025-01-15T16:00:00,95000.00

DEAL108,USD,EUR,2025-01-15T17:00:00,not-a-number

DEAL109,USD,EUR,2025-01-15T18:00:00,200.00
DEAL109,USD,EUR,2025-01-15T18:00:00,200.00

DEAL110,USD,EUR,,300.00

DEAL111,USD,EUR,2025-01-15T19:00:00,
DEAL112,USD,EUR,2025-01-15T20:00:00,400.00,EXTRA_FIELD

, , , ,
